ok,ms,status,grok_proxy,raw,error
0,3259,,http://43.162.115.85:8080,http://43.162.115.85:8080,"ConnectionError:('Connection aborted.', RemoteDisconnected('Remote end closed connection without…"
0,3377,,socks5://47.85.37.60:1080,socks5://47.85.37.60:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3466,,socks5://158.101.8.92:1080,socks5://158.101.8.92:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3596,,socks4://95.181.173.18:1080,socks4://95.181.173.18:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3732,,socks5://37.16.25.108:1080,socks5://37.16.25.108:1080,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3780,,socks5://64.225.42.129:3004,socks5://64.225.42.129:3004,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3842,,socks5://64.225.42.129:3007,socks5://64.225.42.129:3007,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3848,,socks5://64.225.42.129:3001,socks5://64.225.42.129:3001,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3900,,socks5://64.225.42.129:3011,socks5://64.225.42.129:3011,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3903,,socks4://64.225.42.129:3012,socks4://64.225.42.129:3012,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3928,,socks4://64.225.42.129:3011,socks4://64.225.42.129:3011,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3935,,socks5://64.225.42.129:3012,socks5://64.225.42.129:3012,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3947,,socks5://64.225.42.129:3006,socks5://64.225.42.129:3006,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3969,,socks5://64.225.42.129:3009,socks5://64.225.42.129:3009,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3975,,socks4://64.225.42.129:3004,socks4://64.225.42.129:3004,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,3987,,socks4://64.225.42.129:3006,socks4://64.225.42.129:3006,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
0,4015,,socks4://64.225.42.129:3008,socks4://64.225.42.129:3008,"ConnectionError:SOCKSHTTPSConnectionPool(host='accounts.x.ai', port=443): Max retries exceeded w…"
